"uid","title","year","image_path","rate","categories","time","director","abst"
"heart-of-stone","ハート・オブ・ストーン (2023)
原題: Heart of","","https://images.justwatch.com/poster/306993731/s592/heart-of-stone","","","","",""
"heart-of-stone","ハート・オブ・ストーン (2023)
原題: Heart of","","https://images.justwatch.com/poster/306993731/s592/heart-of-stone","","","","",""
"everything-everywhere-all-at-once","エブリシング・エブリウェア・オール・アット・ワンス (2022)
原題: Everything Everywhere All at","","https://images.justwatch.com/poster/303991261/s592/everything-everywhere-all-at-once","","","","",""
"dont-worry-darling","ドント・ウォーリー・ダーリン (2022)
原題: Don't Worry","","https://images.justwatch.com/poster/302447383/s592/dont-worry-darling","","","","",""
"top-gun-maverick","トップガン マーヴェリック (2022)
原題: Top Gun:","","https://images.justwatch.com/poster/306595934/s592/top-gun-maverick","","","","",""
"black-adam","ブラックアダム (2022)
原題: Black","","https://images.justwatch.com/poster/304428535/s592/black-adam","","","","",""
"the-batman","THE BATMAN－ザ・バットマン－ (2022)
原題: The","","https://images.justwatch.com/poster/285681699/s592/the-batman","","","","",""
"spider-man-no-way-home","スパイダーマン：ノー・ウェイ・ホーム (2021)
原題: Spider-Man: No Way","","https://images.justwatch.com/poster/285968980/s592/spider-man-no-way-home","","","","",""
"insepushiyon","インセプション (2010)
原題:","","https://images.justwatch.com/poster/125401377/s592/insepushiyon","","","","",""
"kingdom-ii-to-distant-lands","キングダム2 遥かなる大地へ","2022","https://images.justwatch.com/poster/301691431/s592/kingdom-ii-to-distant-lands","","","","",""
"minamata-minamata","MINAMATA -ミナマタ- (2020)
原題:","","https://images.justwatch.com/poster/219585048/s592/minamata-minamata","","","","",""
"venom-let-there-be-carnage","ヴェノム：レット・ゼア・ビー・カーネイジ (2021)
原題: Venom: Let There Be","","https://images.justwatch.com/poster/287251106/s592/venom-let-there-be-carnage","","","","",""
"coda-2021","コーダ あいのうた (2021)
原題:","","https://images.justwatch.com/poster/304192864/s592/coda-2021","","","","",""
"gurandoiriyuziyon","グランド・イリュージョン (2013)
原題: Now You See","","https://images.justwatch.com/poster/210335797/s592/gurandoiriyuziyon","","","","",""
"el-club-de-los-lectores-criminales","キラー・ブック・クラブ (2023)
原題: El club de los lectores","","https://images.justwatch.com/poster/307128224/s592/el-club-de-los-lectores-criminales","","","","",""
"mitsudosama","ミッドサマー (2019)
原題:","","https://images.justwatch.com/poster/293545246/s592/mitsudosama","","","","",""
"sachi","search／サーチ (2018)
原題:","","https://images.justwatch.com/poster/140444687/s592/sachi","","","","",""
